Supplementary Table 3A. Differentially methylated probes between HF2303 CSCs and SDCs.,,,,
gene,feat.cgi,CSC_AVG,SDC_AVG,adj.P.Val
TTLL4,Body-opensea,0.689350984,0.568681567,0.136958402
ODC1,5'UTR-island,0.076809448,-0.006563972,0.136958402
ARHGEF10L,Body-opensea,0.719591123,0.816323102,0.136958402
ATP10A,Body-shelf,0.462081231,0.68636785,0.136958402
VAC14,Body-opensea,1.027445037,0.940951697,0.136958402
VENTX,TSS200-island,0.086389838,0.012086863,0.136958402
TULP1,Body-island,1.002202615,0.921165251,0.136958402
,IGR-shore,0.513258564,0.438076291,0.136958402
ASPSCR1,Body-shore,0.660405628,0.734544927,0.136958402
EFCAB4B,1stExon-island,0.651360995,0.581216761,0.136958402
FLJ36777,Body-opensea,0.089940479,0.018193634,0.136958402
,IGR-opensea,0.776540447,0.932956328,0.136958402
FAM38A,Body-shelf,1.003972536,0.93362932,0.136958402
MRPL21,5'UTR-opensea,0.62899931,0.706789795,0.136958402
ATXN7,Body-opensea,0.213338391,0.385074066,0.136958402
COL7A1,TSS200-island,0.105312132,0.018502005,0.136958402
DHRS3,TSS1500-island,0.303407708,0.136451543,0.136958402
PPP1R7,Body-shelf,0.724530498,0.827436996,0.136958402
RAB11FIP4,1stExon-island,0.136244424,0.037949684,0.136958402
KNDC1,1stExon-island,0.080524697,0.004832114,0.136958402
PLEC1,Body-island,0.065611834,0.005626492,0.136958402
TGFBR2,TSS1500-shore,0.528283117,0.662812667,0.136958402
ADRA1A,Body-opensea,0.911489953,0.792608869,0.136958402
TMEM22,1stExon-island,0.10086206,0.02726492,0.136958402
TEC,5'UTR-shore,0.814466978,0.728333758,0.136958402
PRDM15,Body-island,0.695789324,0.761545365,0.136958402
,IGR-opensea,0.749867682,0.831972929,0.136958402
,IGR-shelf,0.761144882,0.847796584,0.136958402
ANO1,1stExon-island,0.085331664,0.001493378,0.136958402
FBLIM1,5'UTR-shelf,0.619054116,0.718924732,0.136958402
FLJ25006,Body-opensea,0.405788144,0.506855583,0.136958402
RPL3,Body-opensea,0.695403781,0.757438881,0.136958402
,IGR-shelf,0.658997598,0.721310333,0.136958402
KCNQ2,Body-shore,0.133371399,0.037212766,0.136958402
DHRS3,Body-shore,0.242278729,0.379830355,0.136958402
COL6A6,Body-opensea,0.999846422,0.921106689,0.136958402
SLC22A6,TSS1500-opensea,0.535098647,0.456361944,0.136958402
,IGR-opensea,0.847609606,0.786437424,0.136958402
PDE4D,Body-opensea,0.776329354,0.612487984,0.136958402
ACBD4,5'UTR-island,0.065962801,0.005734837,0.136958402
,IGR-shelf,0.578899521,0.503091109,0.136958402
CUL5,5'UTR-island,0.065013899,0.00039938,0.136958402
DIP2C,Body-island,0.799415284,0.864872612,0.136958402
,IGR-shore,0.69595519,0.632981281,0.136958402
LPAR3,TSS1500-island,0.794228635,0.717768773,0.136958402
RFTN1,TSS1500-shore,0.702390571,0.625298331,0.136958402
,IGR-island,0.766970322,0.865227437,0.136958402
SYT11,3'UTR-opensea,0.95365339,0.8801013,0.136958402
MYT1,Body-opensea,0.3176363,0.393335062,0.136958402
LGR6,Body-opensea,0.830714941,0.760134441,0.136958402
DNAJC7,3'UTR-opensea,0.207862631,0.103955567,0.136958402
IL26,1stExon-opensea,0.946367716,0.854014965,0.136958402
,IGR-shore,0.243657764,0.092910734,0.136958402
CUL4A,Body-shelf,0.723502099,0.776733023,0.136958402
DENND1A,Body-opensea,1.004350074,0.950882493,0.136958402
KIT,TSS1500-island,0.12338063,0.065202392,0.136958402
HIVEP3,5'UTR-island,0.058638541,0.006325143,0.136958402
,IGR-opensea,0.795102257,0.723149255,0.136958402
,IGR-opensea,0.211047722,0.291724526,0.136958402
EFCAB9,1stExon-opensea,0.710385579,0.791105648,0.136958402
BCL9L,Body-opensea,0.587754247,0.649128743,0.136958402
,IGR-island,0.087025828,0.018235072,0.136958402
CDC42BPB,Body-opensea,0.154014246,0.237522919,0.136958402
C1orf189,Body-opensea,0.717869321,0.769724633,0.136958402
PDE6B,Body-opensea,0.66706744,0.775251445,0.136958402
,IGR-shore,0.867138092,0.926454455,0.136958402
F12,Body-island,0.085220092,0.023171048,0.136958402
BMI1,5'UTR-island,0.083898014,0.022381237,0.136958402
9-Sep,5'UTR-shelf,0.334193029,0.434105163,0.136958402
WNT6,TSS200-island,0.06411723,0.008801109,0.136958402
,IGR-opensea,0.713477958,0.764242527,0.136958402
RABEP2,TSS200-island,0.065164283,0.012576057,0.136958402
FAM171B,Body-opensea,0.766728698,0.86237707,0.136958402
LCP2,TSS1500-opensea,0.770195022,0.670037603,0.136958402
,IGR-opensea,0.146321903,0.224155108,0.136958402
ANKMY1,TSS200-island,0.095989158,0.032790921,0.136958402
PRRT1,3'UTR-island,0.666633212,0.739075678,0.136958402
,IGR-shelf,0.736700332,0.790310133,0.136958402
CCDC109A,Body-opensea,0.547704508,0.763357047,0.136958402
DMXL1,5'UTR-island,0.058005662,0.004160427,0.136958402
PRR12,Body-island,0.784762361,0.860229151,0.136958402
,IGR-island,0.144284196,0.032688191,0.136958402
,IGR-opensea,0.880773052,0.931867241,0.136958402
CXCL12,Body-shelf,0.173053703,0.115435672,0.136958402
,IGR-island,0.09957415,0.03544602,0.136958402
,IGR-opensea,0.090633704,0.025113355,0.136958402
PTGFRN,3'UTR-opensea,0.041251747,0.133959136,0.136958402
FHOD1,Body-island,0.069994128,0.013717426,0.136958402
AKAP6,3'UTR-opensea,0.443578961,0.549289773,0.136958402
,IGR-shore,1.009694919,0.94412999,0.136958402
ABLIM1,Body-opensea,0.538942794,0.685601908,0.136958402
HTR1B,1stExon-shore,0.989084459,0.88517125,0.136958402
C10orf96,Body-opensea,0.289811944,0.153353463,0.136958402
TRAPPC5,TSS200-island,0.076376131,0.010655564,0.136958402
CCDC33,Body-opensea,0.953013009,0.888146945,0.136958402
,IGR-island,0.085772004,0.016906938,0.136958402
,IGR-opensea,0.781254017,0.831579172,0.136958402
PTPN14,5'UTR-shore,0.171390757,0.274694717,0.136958402
CRKL,Body-shelf,0.667579447,0.781509508,0.136958402
DLGAP2,Body-opensea,0.794514067,0.74478927,0.136958402
NKX6-2,TSS1500-island,0.961232507,0.899146922,0.136958402
VPS52,Body-shelf,0.83703316,0.909508764,0.136958402
,IGR-opensea,0.745396374,0.805069437,0.136958402
FABP5L3,TSS1500-opensea,0.068809517,0.009725937,0.136958402
ULK1,1stExon-island,0.08828214,0.015696904,0.136958402
,IGR-opensea,0.798193793,0.667272942,0.136958402
,IGR-shelf,0.654935097,0.707368582,0.136958402
TRAPPC9,Body-opensea,0.660560405,0.706042784,0.136958402
PCSK6,3'UTR-opensea,0.636338302,0.568018056,0.136958402
LBX2,1stExon-island,0.109022248,0.003167199,0.136958402
,IGR-opensea,0.917523658,0.8627928,0.136958402
ABR,Body-opensea,0.72086218,0.837610012,0.136958402
CTHRC1,5'UTR-island,1.010298324,0.958977401,0.136958402
,IGR-shore,0.668340812,0.542446502,0.136958402
CRH,1stExon-shore,0.154495332,0.259833497,0.136958402
,IGR-opensea,0.18684808,0.122533786,0.136958402
SDC3,TSS1500-island,0.069614363,0.012370004,0.136958402
NAV2,5'UTR-island,0.07123677,0.013866127,0.136958402
,IGR-opensea,0.821796436,0.761956244,0.136958402
,IGR-opensea,0.846463199,0.930447807,0.136958402
,IGR-island,0.812490215,0.885257222,0.136958402
CNBP,1stExon-island,0.072395665,0.014157886,0.136958402
,IGR-island,0.322421075,0.154314123,0.136958402
GRAMD3,Body-opensea,0.716622816,0.763194182,0.136958402
ESRRG,5'UTR-opensea,0.179240598,0.042261819,0.136958402
PPP2R5B,1stExon-island,0.096027863,0.008920981,0.136958402
SDCBP,5'UTR-shore,0.189520862,0.276471196,0.136958402
CDK5RAP1,Body-opensea,0.744063351,0.661253077,0.136958402
,IGR-island,0.617796125,0.5614582,0.136958402
ZNF683,Body-shore,0.826388907,0.76358149,0.136958402
UBE3C,5'UTR-island,0.078041484,0.031272231,0.136958402
LOC283731,Body-island,0.593741111,0.524437458,0.136958402
POLG,Body-island,0.742432468,0.796679787,0.136958402
C7orf20,Body-shelf,0.725683897,0.771523922,0.136958402
ZFPM1,Body-island,0.06367538,0.016920121,0.136958402
MCF2L,Body-shore,0.123703721,0.039697738,0.136958402
MCOLN1,Body-island,0.092342081,0.010343796,0.136958402
NCF4,TSS200-opensea,0.755623975,0.680576787,0.136958402
NBEAL2,Body-opensea,0.839764173,0.908209693,0.136958402
RPRD1B,1stExon-island,0.127650681,0.042043701,0.136958402
,IGR-shore,0.777506235,0.724755406,0.136958402
TSSK3,1stExon-island,0.088306747,0.015711531,0.136958402
PAX9,TSS1500-island,0.838644004,0.892812601,0.136958402
GLYR1,TSS1500-island,0.058020942,0.005179306,0.136958402
,IGR-opensea,0.749220688,0.803429154,0.136958402
ARID1B,Body-island,0.092365004,0.022965114,0.136958402
CHRNA5,TSS1500-shore,0.283605742,0.350290751,0.136958402
SNX6,5'UTR-island,0.048027403,0.004340906,0.136958402
PTPRN2,Body-shore,0.751322053,0.658897145,0.136958402
,IGR-shelf,0.77996331,0.735815039,0.136958402
,IGR-opensea,0.317539728,0.496700512,0.136958402
,IGR-shore,0.070524235,0.014991175,0.136958402
SKI,TSS1500-island,0.050450936,0.007295418,0.136958402
CDNF,TSS200-island,0.072044353,0.015438173,0.136958402
SNUPN,5'UTR-island,0.064670876,0.000433725,0.136958402
ATAD3C,Body-shore,0.603322955,0.547500891,0.136958402
ELAVL3,TSS1500-island,0.065380238,0.019303928,0.136958402
