Supplementary Table 3B. Differentially methylated probes between HF2927 CSCs and SDCs.,,,,
gene,feat.cgi,csc_AVG,sdc_AVG,adj.P.Val
SYNM,TSS200-island,0.19263683,0.351593499,0.01745544
,IGR-opensea,0.304171804,0.148578202,0.01745544
PAX1,Body-shore,0.294786788,0.431866291,0.01745544
TBX1,5'UTR-island,0.230331409,0.45344894,0.01745544
,IGR-opensea,0.217359951,0.33792012,0.01745544
CWH43,Body-island,0.382214369,0.564292662,0.01745544
,IGR-shore,0.737637415,0.616735652,0.01745544
,IGR-shore,0.22183695,0.342973926,0.01745544
NGF,5'UTR-opensea,0.735826503,0.62111426,0.01745544
TMEM132C,Body-shore,0.716916821,0.595199879,0.01745544
,IGR-island,0.717558443,0.880187707,0.01745544
SYNM,TSS200-island,0.251706252,0.429081604,0.01745544
,IGR-opensea,0.299734529,0.162062741,0.01745544
,IGR-shore,0.611251562,0.48152986,0.01745544
GKN1,1stExon-opensea,0.703820181,0.516106811,0.01745544
DHH,Body-island,0.273922403,0.391144736,0.01745544
MTP18,TSS1500-shore,0.201208436,0.310714561,0.01745544
PION,Body-island,0.063975589,0.164985047,0.01745544
,IGR-shelf,0.818848926,0.641125571,0.01745544
,IGR-opensea,0.703510951,0.549411207,0.01745544
BCL11B,Body-opensea,0.462682078,0.330065673,0.01745544
KIF13A,TSS1500-shore,0.431692451,0.634850405,0.01745544
,IGR-shore,0.811670993,0.678083865,0.01745544
WNT9A,Body-shelf,0.732516468,0.648530501,0.01745544
RUNX3,Body-shore,0.665357282,0.563685578,0.01745544
HLA-DQB2,Body-shelf,0.781760838,0.623824416,0.01745544
,IGR-opensea,0.684029925,0.807263016,0.01745544
FAM171A2,Body-island,0.522517069,0.774446125,0.01745544
,IGR-shelf,0.943298384,0.82414526,0.01745544
,IGR-opensea,0.733136254,0.634115637,0.01745544
C1orf49,1stExon-opensea,0.74106878,0.609328653,0.01745544
LIMD2,TSS1500-island,0.538178302,0.670878574,0.01745544
,IGR-opensea,0.795354993,0.679520845,0.01745544
SORBS3,5'UTR-shore,0.434229954,0.661898539,0.01745544
LOC729176,TSS1500-opensea,0.816384961,0.648592388,0.01745544
DNAH8,Body-opensea,0.85606406,0.699637779,0.01745544
LRTM2,3'UTR-opensea,0.670757822,0.562289039,0.01745544
DCLK1,5'UTR-shelf,0.333780468,0.232776887,0.01745544
KIAA1751,Body-shelf,0.689592594,0.576028058,0.01745544
,IGR-opensea,0.443367515,0.334398959,0.01745544
OR12D3,1stExon-opensea,0.28598842,0.146647722,0.01745544
TBX1,Body-island,0.187696773,0.453448775,0.01745544
,IGR-opensea,0.574631527,0.476756566,0.01745544
EGFR,Body-opensea,0.654961672,0.52151611,0.01745544
SHISA9,TSS1500-island,0.142385718,0.227643324,0.01745544
,IGR-island,0.74509664,0.594394003,0.01745544
OBSCN,3'UTR-island,0.086487244,0.006230354,0.01745544
FADS2,Body-opensea,0.709737066,0.602458616,0.01745544
LRRC8C,5'UTR-shore,0.199066907,0.114819298,0.01745544
UNC5C,Body-opensea,0.856183625,0.932989377,0.01745544
,IGR-opensea,0.351367646,0.476169824,0.01745544
,IGR-shelf,0.279890009,0.171872472,0.01745544
INHBA,Body-opensea,0.703980099,0.538352808,0.01745544
,IGR-opensea,0.519154156,0.353292096,0.01745544
,IGR-shelf,0.772934685,0.670433864,0.01745544
,IGR-shore,0.757140183,0.56804445,0.01745544
MRPL21,5'UTR-opensea,0.632396725,0.711025404,0.01745544
,IGR-opensea,0.215002346,0.3961098,0.01745544
,IGR-island,0.859681553,0.719655401,0.01745544
UMODL1,Body-shore,0.853058513,0.690158669,0.01745544
CCDC147,Body-opensea,0.623802546,0.426695068,0.01745544
,IGR-shore,0.215741345,0.325567271,0.01745544
SYT8,1stExon-opensea,0.708705995,0.59687577,0.01745544
ADK,Body-opensea,0.121540012,0.043791866,0.01745544
,IGR-shore,0.775587984,0.672367528,0.01745544
PPPDE2,Body-shore,0.107785764,0.219960451,0.01745544
,IGR-opensea,0.089616624,0.170681638,0.01745544
CDK5R1,Body-island,0.738981758,0.894344978,0.01745544
,IGR-shelf,0.784668253,0.855709974,0.01745544
,IGR-shelf,0.79778596,0.698989734,0.01745544
GALNT9,Body-shore,0.825131869,0.723799532,0.01745544
,IGR-opensea,0.586749649,0.477180528,0.01745544
EBF2,Body-opensea,0.782036556,0.663012566,0.01745544
TMPRSS6,Body-island,0.892123057,0.78834504,0.01745544
CCKBR,Body-island,0.881409378,0.779841918,0.01745544
,IGR-shore,0.630738508,0.442092804,0.01745544
,IGR-opensea,0.79198571,0.651754078,0.01745544
,IGR-island,0.283073327,0.41617032,0.01745544
LBP,TSS1500-opensea,0.517908565,0.357660575,0.01745544
,IGR-opensea,0.48037915,0.345846399,0.01745544
FOXN3,5'UTR-opensea,0.824673306,0.702419144,0.01745544
TRPM5,TSS1500-shelf,0.73383841,0.588262033,0.01745544
HTR1B,1stExon-shore,0.996865506,0.900805744,0.01745544
SLC25A31,Body-island,0.92260231,0.847200524,0.01745544
,IGR-island,0.330031872,0.407538846,0.01745544
SRGAP3,TSS1500-opensea,0.658796886,0.543070976,0.01745544
,IGR-shore,0.51256297,0.411960047,0.01745544
PRSS12,Body-shelf,0.744280738,0.638927864,0.01745544
C6orf10,Body-opensea,0.756887434,0.658195934,0.01745544
